mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__n_neighbors,param_clf__p,param_clf__weights,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.0016380786895751954,0.0006825429593360051,0.023482275009155274,0.004696467266690823,3,2,uniform,12,"{'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'uniform', 'pca__n_components': 12}",0.3177570093457944,0.5045045045045045,0.4918032786885246,0.38181818181818183,0.4339622641509434,0.4259690477015898,0.06960603372906776,1,0.6694045174537988,0.6693877551020408,0.6909090909090909,0.6855983772819473,0.6981519507186859,0.6826903382931127,0.011563198511239037
0.0019971847534179686,0.0009001791735907848,0.03396949768066406,0.009048598381285093,3,2,uniform,15,"{'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'uniform', 'pca__n_components': 15}",0.3177570093457944,0.5045045045045045,0.4918032786885246,0.38181818181818183,0.4339622641509434,0.4259690477015898,0.06960603372906776,1,0.6666666666666666,0.6747967479674797,0.6923076923076923,0.6895161290322581,0.7008196721311475,0.6848213816210487,0.012362182292464878
0.0011565208435058594,4.8785917845384374e-05,0.0018210887908935546,0.0001530090420878284,3,2,distance,2,"{'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'distance', 'pca__n_components': 2}",0.28346456692913385,0.22580645161290322,0.144,0.1864406779661017,0.09448818897637795,0.18683997709690336,0.06514441394773665,101,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0019716739654541014,0.001085696685649528,0.003962898254394531,0.0025295599148937417,3,2,distance,3,"{'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'distance', 'pca__n_components': 3}",0.2033898305084746,0.23008849557522124,0.10344827586206896,0.20689655172413793,0.2564102564102564,0.20004668201603182,0.051901276494446466,87,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0021694660186767577,0.0005786388677699583,0.004723119735717774,0.0026113541468770836,3,2,distance,4,"{'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'distance', 'pca__n_components': 4}",0.22580645161290322,0.1694915254237288,0.1415929203539823,0.19469026548672566,0.15517241379310345,0.1773507153340887,0.02993620618898503,118,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0018544197082519531,0.0008674989791476852,0.004115962982177734,0.0010374351836196641,3,2,distance,5,"{'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'distance', 'pca__n_components': 5}",0.2956521739130435,0.2807017543859649,0.16666666666666666,0.16666666666666666,0.26548672566371684,0.2350347974592117,0.056631545680125885,60,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0019298553466796874,0.0009821308881517788,0.00538325309753418,0.001825063946259147,3,2,distance,6,"{'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'distance', 'pca__n_components': 6}",0.2807017543859649,0.24299065420560748,0.17857142857142858,0.19298245614035087,0.22807017543859648,0.22466329374838967,0.03637566098876283,69,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0015694618225097657,0.0006657496236902355,0.00728917121887207,0.0016115883000005727,3,2,distance,8,"{'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'distance', 'pca__n_components': 8}",0.16981132075471697,0.33962264150943394,0.2782608695652174,0.1834862385321101,0.23076923076923078,0.24039006022614187,0.0625991487743119,57,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0026257514953613283,0.001919096692515886,0.011687278747558594,0.0014562034408321708,3,2,distance,10,"{'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'distance', 'pca__n_components': 10}",0.3508771929824561,0.4074074074074074,0.45528455284552843,0.32075471698113206,0.3684210526315789,0.3805489845696206,0.04671110452212813,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.001310253143310547,7.547243212030601e-05,0.015649986267089844,0.004138181255278025,3,2,distance,12,"{'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'distance', 'pca__n_components': 12}",0.3177570093457944,0.5045045045045045,0.4918032786885246,0.38181818181818183,0.4339622641509434,0.4259690477015898,0.06960603372906776,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
